Meeting Type;Vote Date;Vote Number;Agenda Description;Vote Start Date Time;Vote Decision
City Finance & Services;2024-12-11;10416;Member Motion 2. The East Van Cross: Making Vancouver's Iconic Landmark More Vibrant and Accessible;2024-12-11T13:21:17-08:00;Carried Unanimously
City Finance & Services;2024-12-11;10417;Member Motion 2. The East Van Cross: Making Vancouver's Iconic Landmark More Vibrant and Accessible;2024-12-11T13:22:01-08:00;Carried
City Finance & Services;2024-12-11;10418;Member Motion 3. Preserving of the City's Purchasing Power Through Diversification of Financial Reserves;2024-12-11T15:25:36-08:00;Carried
City Finance & Services;2024-12-11;10419;Member Motion 4. Partnering on a Carbon Offset Project to Fund Energy Retrofits of Non-Profit Housing;2024-12-11T15:37:21-08:00;Carried Unanimously
City Finance & Services;2024-12-11;10421;Member Motion 4. Partnering on a Carbon Offset Project to Fund Energy Retrofits of Non-Profit Housing;2024-12-11T15:40:07-08:00;Carried Unanimously
City Finance & Services;2024-12-11;10422;Report 2. Building By-law Harmonization Opportunities;2024-12-11T23:50:50-08:00;Carried Unanimously
City Finance & Services;2024-12-11;10423;Report 3. Contract Award for Construction Services - City-wide Cut Repair Project;2024-12-11T23:51:09-08:00;Carried Unanimously
City Finance & Services;2024-12-11;10424;Report 5. Contract Award for Golf Course Operators;2024-12-11T23:51:33-08:00;Carried Unanimously
City Finance & Services;2024-12-12;10425;Report 1. Broadway Plan Review and Implementation;2024-12-12T18:12:15-08:00;Carried Unanimously
City Finance & Services;2024-12-12;10426;Report 1. Broadway Plan Review and Implementation;2024-12-12T18:44:41-08:00;Carried
City Finance & Services;2024-12-12;10427;Report 1. Broadway Plan Review and Implementation;2024-12-12T18:45:11-08:00;Carried
City Finance & Services;2024-12-12;10428;Report 1. Broadway Plan Review and Implementation;2024-12-12T18:45:48-08:00;Carried
City Finance & Services;2024-12-12;10429;Report 1. Broadway Plan Review and Implementation;2024-12-12T18:46:51-08:00;Lost
City Finance & Services;2024-12-12;10430;Report 1. Broadway Plan Review and Implementation;2024-12-12T18:47:42-08:00;Carried
City Finance & Services;2024-12-12;10431;Report 1. Broadway Plan Review and Implementation;2024-12-12T19:17:31-08:00;Carried
City Finance & Services;2024-12-12;10433;Report 1. Broadway Plan Review and Implementation;2024-12-12T19:18:34-08:00;Carried
City Finance & Services;2024-12-12;10434;Report 1. Broadway Plan Review and Implementation;2024-12-12T19:19:17-08:00;Carried Unanimously
Special Council;2024-12-18;10441;1. Declaration of Dangerous Building at 500 Dunsmuir Street, Vancouver - first amendment;2024-12-18T16:22:19-08:00;Carried Unanimously
Special Council;2024-12-18;10442;1. Declaration of Dangerous Building at 500 Dunsmuir Street, Vancouver - Second Amendment;2024-12-18T16:23:57-08:00;Carried Unanimously
Special Council;2024-12-18;10443;1. Declaration of Dangerous Building at 500 Dunsmuir Street, Vancouver - Main Motion as Amended;2024-12-18T16:38:08-08:00;Carried Unanimously
Council;2025-01-21;10454;Federal Funding for Cambie Street Bridge Seismic Upgrade Project;2025-01-21T11:29:04-08:00;Carried Unanimously
Council;2025-01-21;10455;2025 Cultural Grants (Projects, Advance, Multiyear, Cultural Spaces);2025-01-21T11:30:38-08:00;Carried Unanimously
Council;2025-01-21;10456;CD-1 Rezoning: 4545-4575 West 10th Avenue;2025-01-21T11:34:49-08:00;Carried Unanimously
Council;2025-01-21;10458;Local Government By-election 2025;2025-01-21T11:53:51-08:00;Carried Unanimously
Council;2025-01-21;10459;Auditor General Committee Recommendations Transmittal Report;2025-01-21T11:55:00-08:00;Carried Unanimously
Council;2025-01-21;10460;CD-1 Rezoning: 2535 Carolina Street and 557-569 East 10th Avenue;2025-01-21T11:55:28-08:00;Carried Unanimously
Council;2025-01-21;10461;Miscellaneous Amendments - Zoning and Development By-law and Various Other By laws and Land Use Documents;2025-01-21T11:55:43-08:00;Carried Unanimously
Council;2025-01-21;10462;CD-1 Rezoning: 210-220 West 6th Avenue and 2224 Alberta Street;2025-01-21T11:56:09-08:00;Carried Unanimously
Council;2025-01-21;10463;CD-1 Rezoning: 4-36 West 3rd Avenue and 5 West 4th Avenue;2025-01-21T11:56:55-08:00;Carried Unanimously
Council;2025-01-21;10465;Rezoning: 767-791 West 28th Avenue;2025-01-21T11:57:38-08:00;Carried Unanimously
Council;2025-01-21;10466;Rezoning: 8366-8380 Beatrice Street;2025-01-21T11:57:56-08:00;Carried Unanimously
Council;2025-01-21;10467;CD-1 Rezoning: 43-95 East 3rd Avenue;2025-01-21T11:58:43-08:00;Carried Unanimously
Council;2025-01-21;10468;CD-1 Rezoning: 1171 West 12th Avenue;2025-01-21T11:58:56-08:00;Carried Unanimously
Public Hearing;2025-01-21;10472;1. Miscellaneous Amendments Concerning Various CD-1 By-laws and Schedule E of the Zoning and Development By-law;2025-01-21T18:19:07-08:00;Carried Unanimously
Public Hearing;2025-01-21;10473;2. Rezoning: 626 West 32nd Avenue;2025-01-21T18:39:07-08:00;Carried Unanimously
Public Hearing;2025-01-21;10474;3. Rezoning: 2520-2544 West 16th Avenue and 3223 Larch Street;2025-01-21T19:05:35-08:00;Carried Unanimously
Public Hearing;2025-01-21;10475;4. Rezoning: 5889-5925 Dunbar Street;2025-01-21T19:22:51-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-01-22;10479;R2. Contract Award for Consulting Services for City of Vancouver False Creek South Landowner's Conceptual Development Plan;2025-01-22T10:20:11-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-01-22;10480;Motion 1. Effective Water Use in the City of Vancouver;2025-01-22T10:42:02-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-01-22;10481;Motion 1. Effective Water Use in the City of Vancouver;2025-01-22T10:45:46-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-01-22;10482;Motion 2. Change to Acting Mayor Roster 2025;2025-01-22T10:47:24-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-01-22;10483;R1. Contract Award for Tree Removal and Associated Services in Stanley Park;2025-01-22T10:58:11-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-01-22;10484;R3. Change Order for Consulting Services for ServiceNow Resources Augmentation;2025-01-22T10:58:54-08:00;Carried Unanimously
Public Hearing;2025-01-23;10485;1. CD-1 Rezoning: 1434-1456 West 8th Avenue;2025-01-23T19:01:27-08:00;Carried Unanimously
Public Hearing;2025-01-23;10486;2. CD-1 Rezoning: 1190 West 10th Avenue;2025-01-23T19:59:16-08:00;Carried Unanimously
Public Hearing;2025-01-23;10487;3. CD-1 Rezoning: 1245-1265 West 10th Avenue;2025-01-23T20:44:41-08:00;Carried Unanimously
Special Council;2025-01-28;10489;1. Business Licence Application No. 24-159505 (Short Term Rental) 3470 Prince Edward Street;2025-01-28T11:11:45-08:00;Carried Unanimously
Special Council;2025-01-28;10490;1. Change to Acting Mayor Schedule for January 29-31, 2025;2025-01-28T14:04:11-08:00;Carried Unanimously
Special Council;2025-01-29;10491;1. Business Licence Application: 24-158958 (Short Term Rental);2025-01-29T12:02:57-08:00;Carried Unanimously
Council;2025-02-04;10493;R2. Mayor's Budget Task Force Implementation Oversight Committee Transmittal;2025-02-04T10:31:15-08:00;Carried Unanimously
Council;2025-02-04;10494;R3. Key Directions for the Healthy Waters Plan;2025-02-04T11:13:50-08:00;Carried Unanimously
Council;2025-02-04;10495;RR5. CD-1 (836) Text Amendment: 1075 Nelson Street (Formerly 1059-1083 Nelson Street);2025-02-04T11:17:19-08:00;Carried Unanimously
Council;2025-02-04;10496;POSTPONEMENT - NB 4. Choose Canada, Tariffs and Buy Local Imperative;2025-02-04T11:45:34-08:00;Carried Unanimously
Council;2025-02-04;10497;Comm1. Change to Council Meeting Schedule;2025-02-04T14:51:47-08:00;Carried Unanimously
Council;2025-02-04;10498;R1. Correction of Dates - Business Licence Hearings for April 2025 and Changes to Business Licence Hearing Panel Assignments - March 2025;2025-02-04T14:52:05-08:00;Carried Unanimously
Council;2025-02-04;10499;R4. Below Market Lease Extension to Italian Cultural Center Senior Citizens Housing;2025-02-04T14:52:20-08:00;Carried Unanimously
Council;2025-02-04;10500;R5. Licence Arrangements for City-Owned Properties at 453 West 12th Avenue;2025-02-04T14:52:32-08:00;Carried Unanimously
Council;2025-02-04;10501;RR1. CD-1 Rezoning: 1045 West 14th Avenue;2025-02-04T14:52:45-08:00;Carried Unanimously
Council;2025-02-04;10502;RR2. CD-1 Rezoning: 396 East 2nd Avenue;2025-02-04T14:53:02-08:00;Carried Unanimously
Council;2025-02-04;10503;RR3. CD-1 Rezoning: 648-680 East Broadway and 2505 Fraser Street;2025-02-04T14:53:16-08:00;Carried Unanimously
Council;2025-02-04;10504;RR4. Rezoning: 4471-4485 Fraser Street and 691 East 29th Avenue;2025-02-04T14:53:27-08:00;Carried Unanimously
Council;2025-02-04;10505;RR6. Minor Industrial Zoning Amendments;2025-02-04T14:53:54-08:00;Carried Unanimously
Council;2025-02-04;10506;RR7. CD-1 Rezoning: 121-129 West 11th Avenue;2025-02-04T14:54:15-08:00;Carried Unanimously
Council;2025-02-04;10507;RR8. Regulatory Changes Toward 3-3-3-1 Permitting Targets;2025-02-04T14:58:29-08:00;Carried Unanimously
Council;2025-02-04;10508;RR9. CD-1 Rezoning: 2111 Main Street;2025-02-04T14:58:56-08:00;Carried Unanimously
Council;2025-02-04;10509;RR10. CD-1 Rezoning: 4910-4950 Willow Street;2025-02-04T14:59:46-08:00;Carried Unanimously
Council;2025-02-04;10510;RR11. CD-1 Rezoning: 282 West 49th Avenue (Langara Family YMCA);2025-02-04T15:00:04-08:00;Carried Unanimously
Council;2025-02-04;10511;RR12. CD-1 Rezoning: 2950 Prince Edward Street;2025-02-04T15:00:32-08:00;Carried Unanimously
City Finance & Services;2025-02-05;10512;R1. Childcare Strategy Implementation and Policy Harmonization;2025-02-05T10:55:33-08:00;Carried Unanimously
City Finance & Services;2025-02-05;10513;R2. Older Persons Strategic Framework and 2025 Early Actions;2025-02-05T12:09:42-08:00;Carried Unanimously
City Finance & Services;2025-02-05;10517;"R3. Contract Award for Construction Services 
 for Granville Bridge South Main Approach and Ramps Rehabilitation - Phase 1";2025-02-05T12:15:27-08:00;Carried Unanimously
City Finance & Services;2025-02-05;10518;R4. Contract Award for Construction Services for Killarney Park Track and Field Civil Works;2025-02-05T12:15:44-08:00;Carried Unanimously
Special Council;2025-02-11;10520;1. Choose Canada, Tariffs and Buy Local Imperative;2025-02-11T10:07:44-08:00;Carried Unanimously
Special Council;2025-02-11;10521;1. Choose Canada, Tariffs and Buy Local Imperative;2025-02-11T10:19:02-08:00;Carried Unanimously
Auditor General Committee;2025-02-13;10524;2. 2024 Office of the Auditor General Annual Report and 2025 Operational Plan;2025-02-13T10:25:39-08:00;Carried Unanimously
Auditor General Committee;2025-02-13;10525;3. 2024 Annual Whistleblower Report;2025-02-13T11:04:53-08:00;Carried Unanimously
Council;2025-02-25;10526;Uplifting the Downtown Eastside and Building Inclusive Communities that Work for All Residents Motion: Progress Update - THAT clause;2025-02-25T12:02:55-08:00;Carried Unanimously
Council;2025-02-25;10527;Uplifting the Downtown Eastside and Building Inclusive Communities that Work for All Residents Motion: Progress Update - FURTHER THAT Clause;2025-02-25T12:03:32-08:00;Carried
Council;2025-02-25;10528;Change to Council Meeting Schedule;2025-02-25T12:08:20-08:00;Carried Unanimously
Council;2025-02-25;10529;Approval of Business Improvement Areas (BIA) Renewals and Expansion 2025;2025-02-25T12:08:45-08:00;Carried Unanimously
Council;2025-02-25;10530;Chinatown Advisory Committee - Revision to Terms of Reference\t;2025-02-25T12:09:16-08:00;Carried Unanimously
Council;2025-02-25;10531;Report Back: Gastown Water Street Pedestrian Zone Pilot Update;2025-02-25T17:10:14-08:00;Carried Unanimously
Public Hearing;2025-02-25;10532;1. CD-1 Rezoning: 282 West 49th Avenue (Langara Family YMCA);2025-02-25T19:32:03-08:00;Carried Unanimously
Public Hearing;2025-02-25;10533;2. Miscellaneous Amendments - Zoning and Development By-law and Various Other By-laws and Land Use Documents;2025-02-25T19:47:48-08:00;Carried Unanimously
Public Hearing;2025-02-25;10534;3. Rezoning: 767-791 West 28th Avenue;2025-02-25T20:02:48-08:00;Carried Unanimously
Public Hearing;2025-02-25;10535;4. Rezoning: 8366-8380 Beatrice Street;2025-02-25T20:20:01-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-02-26;10538;R1. Potential to Update the Vancouver Building Bylaw to Enable Single Egress Stairs;2025-02-26T11:06:12-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-02-26;10539;R1. Potential to Update the Vancouver Building Bylaw to Enable Single Egress Stairs;2025-02-26T11:10:55-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-02-26;10540;R2. Contract Award for Construction Services for Permanent Plazas;2025-02-26T11:16:57-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-02-26;10541;Motion 1. Consultation with the Ministry of Housing and BC Housing at a Public Meeting;2025-02-26T11:41:01-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-02-26;10542;Motion 1. Consultation with the Ministry of Housing and BC Housing at a Public Meeting;2025-02-26T11:59:25-08:00;Lost
Policy & Strategic Priorities;2025-02-26;10543;Motion 2. Bringing Back The Block Party: Supporting Davie Village and Vancouver Pride Celebrations;2025-02-26T12:22:32-08:00;Carried Unanimously
Policy & Strategic Priorities;2025-02-26;10544;Motion 3. Temporarily Pausing Net-New Supportive Housing Investments in Vancouver to Prioritize Replacing Existing Stock and Promoting Regional Equity;2025-02-26T18:22:12-08:00;Carried
Council;2025-02-27;10545;Amendments to Street Vending By-law to Support Water Street Pedestrian Zone Pilot and Granville Public Realm Improvements;2025-02-27T15:05:57-08:00;Carried Unanimously
Council;2025-02-27;10546;Housing and Homelessness Services 2025 Grants: Renter Services Grants and Update to SRO Upgrading Grant Recipient - Clause A and C;2025-02-27T15:10:03-08:00;Carried
Council;2025-02-27;10547;Housing and Homelessness Services 2025 Grants: Renter Services Grants and Update to SRO Upgrading Grant Recipient - Clause B, D, E, F;2025-02-27T15:10:23-08:00;Carried Unanimously
Public Hearing;2025-02-27;10548;1. CD-1 Rezoning: 1171 West 12th Avenue;2025-02-27T18:53:48-08:00;Carried Unanimously
Public Hearing;2025-02-27;10549;2. CD-1 Rezoning: 2535 Carolina Street and 557-569 East 10th Avenue;2025-02-27T19:37:32-08:00;Carried Unanimously
Public Hearing;2025-02-27;10550;3. CD-1 Rezoning: 43-95 East 3rd Avenue;2025-02-27T19:51:02-08:00;Carried Unanimously
Public Hearing;2025-02-27;10551;4. CD-1 Rezoning: 210-220 West 6th Avenue and 2224 Alberta Street;2025-02-27T20:18:33-08:00;Carried Unanimously
Public Hearing;2025-02-27;10552;5. Minor Industrial Zoning Amendments;2025-02-27T20:29:08-08:00;Carried Unanimously
Special Council;2025-03-05;10557;1. Business Licence Application No. 24-159924 (Short Term Rental) 2303-128 W Cordova Street;2025-03-05T10:18:55-08:00;Carried Unanimously
Council;2025-03-11;10559;UB1. CD-1 Rezoning: 4545-4575 West 10th Avenue;2025-03-11T10:38:53-07:00;Carried Unanimously
Council;2025-03-11;10561;R1. 2025 Community Services & Other Social Grants;2025-03-11T11:41:04-07:00;Carried
Council;2025-03-11;10562;R1. 2025 Community Services & Other Social Grants;2025-03-11T11:41:48-07:00;Carried Unanimously
Council;2025-03-11;10563;R2. Amendment to Licence By-Law - SRA Vacancy Control;2025-03-11T12:04:42-07:00;Carried Unanimously
Council;2025-03-11;10564;R4. Street Naming - New Streets and Street Extensions in the River District, Mayfair West (Oakridge Transit Centre), Heather Lands, and Granville Loop;2025-03-11T12:07:15-07:00;Carried Unanimously
Council;2025-03-11;10565;RR3. ??y?alm?x?/Iy?ï¿½lmexw/Jericho Lands Official Development Plan;2025-03-11T12:15:15-07:00;Carried Unanimously
Council;2025-03-11;10567;R3. Commemorative Plaque for Ian Neville;2025-03-11T12:29:28-07:00;Carried Unanimously
Council;2025-03-11;10568;R5. Closure and Lease of a Portion of Road Adjacent to 4065 Victoria Drive;2025-03-11T12:29:53-07:00;Carried Unanimously
Council;2025-03-11;10569;R6. Annual Federation of Canadian Municipalities (FCM), Union of British Columbia Municipalities (UBCM), and Lower Mainland Local Government Associati;2025-03-11T12:30:14-07:00;Carried Unanimously
Council;2025-03-11;10570;R7. Auditor General Committee Recommendations Transmittal Report;2025-03-11T12:30:26-07:00;Carried Unanimously
Council;2025-03-11;10571;RR1. CD-1 (25) Amendment: 3215 Macdonald Street;2025-03-11T12:30:44-07:00;Carried Unanimously
Council;2025-03-11;10572;RR2. CD-1 Rezoning: 816-860 West 13th Avenue and 2915-2925 Willow Street;2025-03-11T12:30:59-07:00;Carried Unanimously
Council;2025-03-11;10574;RR4. CD-1 Rezoning: 1551-1581 West 7th Avenue;2025-03-11T12:31:45-07:00;Carried Unanimously
Council;2025-03-11;10575;RR5. Rezoning: 1568 West 75th Avenue and 9123 Bentley Street;2025-03-11T12:31:57-07:00;Carried Unanimously
Council;2025-03-11;10576;RR6. CD-1 Rezoning: 2225 West 8th Avenue;2025-03-11T12:32:21-07:00;Carried Unanimously
Council;2025-03-11;10577;RR7. CD-1 Rezoning: 461-479 East 16th Avenue;2025-03-11T12:32:38-07:00;Carried Unanimously
